"","lat","lon","crop","average_predicted_yield","uncertainty","start_sowing_date","end_sowing_date","start_harvest_date","end_harvest_date","season"
"164","-15.41663375","13.41668735","MILLET","0.59754973493606","18","01/05","15/07","01/09","15/11","90-120 days"
"165","-15.24996705","13.41668735","MILLET","0.657104299767303","18","01/05","15/07","01/09","15/11","90-120 days"
"166","-15.08330035","13.41668735","MILLET","0.610375524412056","18","01/05","15/07","01/09","15/11","90-120 days"
"167","-14.91663365","13.41668735","MILLET","0.653070727607614","18","01/05","15/07","01/09","15/11","90-120 days"
"168","-14.74996695","13.41668735","MILLET","0.651407533381883","18","01/05","15/07","01/09","15/11","90-120 days"
"169","-13.74996675","13.41668735","MILLET","0.624942523237036","18","01/05","15/07","01/09","15/11","90-120 days"
"170","-13.58330005","13.41668735","MILLET","0.505099279350433","18","01/06","15/07","01/09","15/11","90-120 days"
"171","-13.41663335","13.41668735","MILLET","0.599392413294388","18","01/06","15/07","01/09","15/11","90-120 days"
"172","-13.24996665","13.41668735","MILLET","0.742550961343038","18","01/06","15/07","01/09","15/11","90-120 days"
"173","-13.08329995","13.41668735","MILLET","0.665107037162027","18","01/06","15/07","01/09","15/11","90-120 days"
"174","-12.91663325","13.41668735","MILLET","0.667202341117129","18","01/06","15/07","01/09","15/11","90-120 days"
"175","-12.74996655","13.41668735","MILLET","0.658606747402189","18","01/06","15/07","01/09","15/11","90-120 days"
"176","-12.58329985","13.41668735","MILLET","0.565677352586814","18","01/06","15/07","01/09","15/11","90-120 days"
"177","-12.41663315","13.41668735","MILLET","0.616693403324846","18","01/06","15/07","01/09","15/11","90-120 days"
"178","-12.24996645","13.41668735","MILLET","0.646031566581429","18","01/06","15/07","01/09","15/11","90-120 days"
"179","-12.0832997500000","13.41668735","MILLET","0.543055101572289","18","01/06","15/07","01/09","15/11","90-120 days"
"180","-11.916633050","13.41668735","MILLET","0.609251405661387","18","01/06","15/07","01/09","15/11","90-120 days"
"181","-11.74996635","13.41668735","MILLET","0.702521972809848","18","01/06","15/07","01/09","15/11","90-120 days"
"182","-16.58330065","13.58335405","MILLET","0.644739740943334","18","15/04","31/05","15/09","31/10","90-120 days"
"183","-16.41663395","13.58335405","MILLET","0.662741691877738","18","15/04","31/05","15/09","31/10","90-120 days"
"184","-16.24996725","13.58335405","MILLET","0.575702558208891","18","15/04","31/05","15/09","31/10","90-120 days"
"185","-16.08330055","13.58335405","MILLET","0.607741191912177","18","15/04","31/05","15/09","31/10","90-120 days"
"186","-15.91663385","13.58335405","MILLET","0.704879000659016","18","15/04","31/05","15/09","31/10","90-120 days"
"187","-15.74996715","13.58335405","MILLET","0.688352686712281","18","15/04","31/05","15/09","31/10","90-120 days"
"188","-15.58330045","13.58335405","MILLET","0.631592664019176","18","15/04","31/05","15/09","31/10","90-120 days"
"189","-15.08330035","13.58335405","MILLET","0.616087539914536","18","01/05","15/07","01/09","15/11","90-120 days"
"190","-14.41663355","13.58335405","MILLET","0.597473408487633","18","01/06","15/07","01/09","15/11","90-120 days"
"191","-14.24996685","13.58335405","MILLET","0.661834466297507","18","01/06","15/07","01/09","15/11","90-120 days"
"192","-14.08330015","13.58335405","MILLET","0.578046062623734","18","01/06","15/07","01/09","15/11","90-120 days"
"193","-13.91663345","13.58335405","MILLET","0.598529859243214","18","01/06","15/07","01/09","15/11","90-120 days"
"194","-13.74996675","13.58335405","MILLET","0.620123643659114","18","01/06","15/07","01/09","15/11","90-120 days"
"195","-13.58330005","13.58335405","MILLET","0.698055861440842","18","01/06","15/07","01/09","15/11","90-120 days"
"196","-13.41663335","13.58335405","MILLET","0.623788631792861","18","01/06","15/07","01/09","15/11","90-120 days"
"197","-13.24996665","13.58335405","MILLET","0.611839931469038","18","01/06","15/07","01/09","15/11","90-120 days"
"198","-13.08329995","13.58335405","MILLET","0.711929307423736","18","01/06","15/07","01/09","15/11","90-120 days"
"199","-12.91663325","13.58335405","MILLET","0.651415964079178","18","01/06","15/07","01/09","15/11","90-120 days"
"200","-12.74996655","13.58335405","MILLET","0.625343569457262","18","01/06","15/07","01/09","15/11","90-120 days"
"201","-12.58329985","13.58335405","MILLET","0.664792900096887","18","01/06","15/07","01/09","15/11","90-120 days"
"202","-12.41663315","13.58335405","MILLET","0.593045683844126","18","01/06","15/07","01/09","15/11","90-120 days"
"203","-12.24996645","13.58335405","MILLET","0.636783177507708","18","01/06","15/07","01/09","15/11","90-120 days"
"204","-12.0832997500000","13.58335405","MILLET","0.707036738670775","18","01/06","15/07","01/09","15/11","90-120 days"
"205","-16.74996735","13.75002075","MILLET","0.599353369792036","18","15/04","31/05","15/09","31/10","90-120 days"
"206","-16.58330065","13.75002075","MILLET","0.656275271767711","18","15/04","31/05","15/09","31/10","90-120 days"
"207","-16.41663395","13.75002075","MILLET","0.628232954030378","18","15/04","31/05","15/09","31/10","90-120 days"
"208","-16.24996725","13.75002075","MILLET","0.686680922242212","18","15/04","31/05","15/09","31/10","90-120 days"
"209","-16.08330055","13.75002075","MILLET","0.701870040470693","18","15/04","31/05","15/09","31/10","90-120 days"
"210","-15.91663385","13.75002075","MILLET","0.606284253862117","18","15/04","31/05","15/09","31/10","90-120 days"
"211","-15.74996715","13.75002075","MILLET","0.67043135367766","18","15/04","31/05","15/09","31/10","90-120 days"
"212","-15.58330045","13.75002075","MILLET","0.62648113324991","18","15/04","31/05","15/09","31/10","90-120 days"
"213","-15.41663375","13.75002075","MILLET","0.643354571612441","18","15/04","31/05","15/09","31/10","90-120 days"
"214","-15.24996705","13.75002075","MILLET","0.644747043228484","18","15/04","31/05","15/09","31/10","90-120 days"
"215","-15.08330035","13.75002075","MILLET","0.586207983991726","18","15/04","31/05","15/09","31/10","90-120 days"
"216","-14.91663365","13.75002075","MILLET","0.592159567318627","18","15/04","31/05","15/09","31/10","90-120 days"
"217","-14.74996695","13.75002075","MILLET","0.622964975497561","18","01/06","15/07","01/09","15/11","90-120 days"
"218","-14.58330025","13.75002075","MILLET","0.670844046799387","18","01/06","15/07","01/09","15/11","90-120 days"
"219","-14.41663355","13.75002075","MILLET","0.559601923288233","18","01/06","15/07","01/09","15/11","90-120 days"
"220","-14.24996685","13.75002075","MILLET","0.642879353970442","18","01/06","15/07","01/09","15/11","90-120 days"
"221","-14.08330015","13.75002075","MILLET","0.653832994338964","18","01/06","15/07","01/09","15/11","90-120 days"
"222","-13.91663345","13.75002075","MILLET","0.707798865312947","18","01/06","15/07","01/09","15/11","90-120 days"
"223","-13.74996675","13.75002075","MILLET","0.655088332507952","18","01/06","15/07","01/09","15/11","90-120 days"
"224","-13.58330005","13.75002075","MILLET","0.679233282436716","18","01/06","15/07","01/09","15/11","90-120 days"
"225","-13.41663335","13.75002075","MILLET","0.652884570705755","18","01/06","15/07","01/09","15/11","90-120 days"
"226","-13.24996665","13.75002075","MILLET","0.663333706307424","18","01/06","15/07","01/09","15/11","90-120 days"
"227","-13.08329995","13.75002075","MILLET","0.699382406448839","18","01/06","15/07","01/09","15/11","90-120 days"
"228","-12.91663325","13.75002075","MILLET","0.625834059479049","18","01/06","15/07","01/09","15/11","90-120 days"
